Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
32,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.012828001798590033,0.007003145007177265,0.07847904722904724,7.652358531951904
33,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.012441287580397276,0.00677236394148159,0.07847904722904724,7.765805164972941
34,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.012148624648624649,0.00660161711298075,0.07847904722904724,7.816006501515706
35,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.012148624648624649,0.00660161711298075,0.07847904722904724,7.854263544082642
36,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.012044674544674545,0.006540745430487446,0.07847904722904724,7.94911543528239
37,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.011877562245209304,0.006439938978874542,0.07847904722904724,8.022682428359985
38,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.05623173713684
39,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.136720577875773
40,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.170533498128256
41,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.29817565282186
42,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.461172660191854
43,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.379377603530884
44,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.370964686075846
45,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.49531618754069
46,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.58716877301534
47,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.64598536491394
48,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,8.78149382273356
1,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.0789397351897352,0.031367819622129964,0.021401406818073482,0.0789397351897352,2.7853231350317824e+26
2,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.06852306852306853,0.015138804612488822,0.008626227299445972,0.06852306852306853,inf
3,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.012258045810677388,0.006665967177330815,0.07847904722904724,inf
4,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,inf
5,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.04499396999396999,0.045452968464332104,0.10832138957138958,inf
6,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.04499396999396999,0.045452968464332104,0.10832138957138958,inf
7,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.11842239967239969,0.06189689277924571,0.09599628037128037,0.11842239967239969,1.1843020640226524e+16
8,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.04499396999396999,0.045452968464332104,0.10832138957138958,297422.326171875
9,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.036424812322194085,0.02673675605516837,0.10832138957138958,1239245262.7536824
10,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.11842239967239969,0.053327735107469805,0.07728006796211664,0.11842239967239969,524911259544584.0
11,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.11842239967239969,0.053327735107469805,0.07728006796211664,0.11842239967239969,7.186992025423629e+16
12,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.15773443898443898,0.07300974423819252,0.06016449391449392,0.15773443898443898,121182854.7391154
13,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.11842239967239969,0.053327735107469805,0.07728006796211664,0.11842239967239969,31620958.569783527
14,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.16455944580944581,0.08236461344100232,0.08502027232290392,0.16455944580944581,841943.3908894857
15,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.045999448228308516,0.04604643006339335,0.10832138957138958,3.1883028529442724e+16
16,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.13753241878241879,0.06890028590187346,0.07875278010845309,0.13753241878241879,1.810542028673157e+17
17,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.11842239967239969,0.061968914241641505,0.09603701025071992,0.11842239967239969,2.458492272988849e+21
18,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.04546917046917046,0.04573449999586363,0.10832138957138958,3.593222560798758e+17
19,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.11842239967239969,0.053263919922134924,0.0764695420945421,0.11842239967239969,14877587389483.414
20,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.04577494520568524,0.04591919435669436,0.10832138957138958,3.524514570502148e+30
