Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
35,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8869922194922195,0.8850140305253941,0.9167765492765494,0.8869922194922195,3.316892663637797
36,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8938482800982801,0.8890555508737327,0.9138156906906907,0.8938482800982801,3.410931420326233
37,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.909416461916462,0.9056969603901424,0.9227722202722202,0.909416461916462,2.735655725002289
38,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8960831285831287,0.8998276613390249,0.9409756834756834,0.8960831285831287,3.5273412466049194
39,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9027497952497953,0.9068365847115848,0.9450123825123825,0.9027497952497953,3.1127911885579427
40,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8836926699426699,0.8787771655953474,0.9069058587808587,0.8836926699426699,3.72736025651296
41,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8874088861588861,0.8809199995563631,0.8975920705608207,0.8874088861588861,3.8594461043675743
42,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.889514742014742,0.8842882247995885,0.9136717561717562,0.889514742014742,3.5829246044158936
43,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9003255528255529,0.9002335857449495,0.9276602901602903,0.9003255528255529,2.9405082941055296
44,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8815868140868142,0.8810845965959603,0.9041261066261066,0.8815868140868142,4.065980998675029
45,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8876474201474203,0.8864214232964231,0.9180142155142155,0.8876474201474203,3.5462085405985513
46,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8824314086814088,0.8784690631054268,0.9099129567879569,0.8824314086814088,3.693714988231659
47,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8768366093366093,0.8752477607591244,0.9086740961740961,0.8768366093366093,3.3160113414128616
48,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9046662571662573,0.9026843941957579,0.9264604539604541,0.9046662571662573,2.8918887257575987
49,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.87744266994267,0.873018608529972,0.9049123474123473,0.87744266994267,3.4822334607442222
1,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.07556511056511057,0.018381481360608493,0.01068938681254406,0.07556511056511057,7.002033376693726
2,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.07556511056511057,0.018381481360608496,0.01068938681254406,0.07556511056511057,6.994854879379273
3,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.2083384520884521,0.14113787805167116,0.13089683027183024,0.2083384520884521,6.8799272060394285
4,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.3505354217854218,0.2636163919931863,0.2557885486749123,0.3505354217854218,6.494353532791138
